pop,pop_num,hunt,X,Y
Koskenpää,1,hunted,62.0398264,25.2060166
Kummunsuo,2,unhunted,62.3452953,24.7629813
Lauttasuo,3,hunted,62.5085747,24.8721060
Lehtusuo,4,unhunted,62.2577972,24.9687626
Nyrölä,5,unhunted,62.3277745,25.4667377
Palosuo,6,hunted,62.3835671,25.2763626
Pihtissuo,7,hunted,62.4812132,24.8730851
Pirttilampi,8,unhunted,62.2810688,24.9951342
Pirttisuo,9,hunted,62.5504663,25.0042456
Saarisuo,10,unhunted,62.3305773,24.9739807
Teerisuo,11,unhunted,62.1950266,25.0671282
Utusuo,12,hunted,62.5438958,24.8054325
